TO,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserverd,Current Status
BUTTON_IN[0],,PIN_AH17,4A,B4A_N0,3.3-V LVTTL,,
BUTTON_IN[1],,PIN_AH16,4A,B4A_N0,3.3-V LVTTL,,
LED_OUT[0],,PIN_W15,5A,B4A_N0,3.3-V LVTTL,,
LED_OUT[1],,PIN_AA24,5A,B4A_N0,3.3-V LVTTL,,
ENABLE,,PIN_Y24,5B,B4A_N0,3.3-V LVTTL,,
